IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
10.32,7.12,4.3,24.23,23.0,4.91,10.65,12.65,7.25,2.97,24.08,12.45,36.45,22.55,43.35,5.4,8.78,46.17,52.88,1.53,7.675000000000001,2.97,7.55,1.83
10.02,7.5,4.12,22.68,22.32,5.264,9.82,12.85,6.5,2.5,25.15,18.13,21.93,19.53,31.27,9.0,9.8,38.25,26.88,1.8,6.4125,2.78,8.35,1.77
10.48,10.0,3.4,26.93,24.9,5.502999999999999,10.0,10.5,10.07,9.2,24.2,15.9,22.23,29.65,50.15,10.78,13.85,46.45,66.35,1.57,6.448333333333334,2.76,9.27,2.9
17.17,16.73,10.95,30.95,28.75,5.288,11.78,21.17,13.35,13.03,23.9,30.21,41.1,15.75,105.0,17.4,5.07,65.32,248.28,1.65,4.53,7.24,8.15,5.15
24.03,41.8,14.85,30.52,32.8,5.4,13.15,28.75,22.32,18.95,9.83,38.06,55.08,0.5,65.85,25.3,9.28,69.0,278.07,1.75,4.62,11.27,8.2,5.6
20.92,45.15,15.03,37.97,37.58,6.293,14.72,28.3,24.25,15.82,9.0,27.57,65.45,0.65,53.97,22.75,19.48,65.55,215.25,2.08,5.2,7.83,9.3,1.8
19.47,29.78,16.97,41.5,40.95,6.148,15.1,18.82,27.25,12.42,9.08,25.09,64.65,0.38,60.3,11.28,11.45,62.9,53.3,2.3,5.6,4.96,10.57,2.9
17.99,12.22,16.18,48.55,39.05,6.615454545454546,15.15,13.93,31.0,13.68,9.4,18.77,70.05,45.83,30.4,13.1,12.62,62.17,104.7,2.77,5.98,3.17,11.88,3.12
16.05,5.18,14.85,27.15,40.45,9.0,15.1,14.82,22.55,9.18,8.57,15.49,48.15,38.0,46.9,11.55,14.05,54.15,128.5,1.85,6.03,1.36,11.1,3.48
19.99,3.88,14.57,19.46,38.45,2.393636363636364,15.62,12.62,17.17,5.22,9.3,11.05,62.73,35.02,39.83,9.97,6.82,57.33,132.68,1.42,5.62,1.12,10.9,3.45
