Dwarka-S8-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
968.8,966.3,970.12,971.08,999.9,970.12,976.2,969.8,970.6,972.35,981.9,968.4,969.98,971.35,967.33,970.98,971.2,969.52,972.07,970.5,971.8,971.42,971.17
969.25,966.98,970.65,971.62,987.7877777777778,970.65,976.2,970.3,971.12,972.92,981.82,974.1033333333334,970.48,971.35,967.95,971.52,971.7,970.15,972.72,971.05,971.8,972.0,971.7
969.68,967.41,971.0,971.88,987.5533333333333,970.9,976.18,970.45,971.33,973.17,981.85,974.3955555555555,970.8,971.35,968.33,971.98,972.15,970.35,973.1,971.45,971.8,972.38,971.98
969.62,967.1,970.7,971.75,985.8188888888888,970.7,976.27,970.38,971.1,972.85,981.85,969.6,970.52,971.38,968.1,971.7,971.9,970.1,972.77,971.2,971.8,972.1,971.9
969.33,966.99,970.42,971.42,985.5055555555555,970.38,976.2,969.9,970.73,972.7,981.9,969.17,970.22,971.3,967.88,971.52,971.78,969.73,972.65,971.0,971.8,971.92,971.45
968.92,966.65,970.12,971.18,983.0899999999999,970.12,976.25,969.68,970.55,972.4,981.88,968.88,969.98,971.4,967.52,971.18,971.32,969.27,972.27,970.62,971.8,971.6,971.1
968.77,966.3,969.75,970.98,984.3475000000001,969.85,976.2,969.52,970.3,972.1,981.85,968.7,969.75,971.4,967.2,970.97,971.12,969.2,971.92,970.42,971.8,971.3,971.02
968.6,966.35,969.85,971.08,985.633,969.92,976.18,969.58,970.35,972.17,981.85,968.82,969.75,971.32,967.2,970.9,971.1,969.4,972.02,970.35,971.8,971.3,970.92
968.8,966.43,969.92,971.18,988.219,970.0,976.2,969.73,970.4,972.3,981.9,968.8,969.85,971.32,967.27,971.1,971.3,969.47,972.05,970.53,971.8,971.4,971.33
969.25,967.0,970.8,971.9,999.4,970.85,976.35,970.22,971.12,973.15,981.85,974.5869999999999,970.6,971.35,967.83,971.55,971.62,970.08,972.88,970.88,971.8,972.05,971.62
970.02,967.53,971.15,972.25,982.628,971.38,976.27,970.45,971.55,973.45,981.9,974.9309999999999,971.02,971.35,968.42,972.23,972.12,970.7,973.38,971.62,971.8,972.65,971.88
970.17,967.77,971.4,972.42,995.12,971.4,976.35,970.8,971.73,973.68,981.9,970.1,971.15,971.4,968.7,972.32,972.35,970.73,973.65,971.75,971.8,972.8,972.2
970.08,967.82,971.42,972.52,987.02,971.45,976.45,970.83,971.75,973.7,981.9,970.35,971.2,971.4,968.82,972.35,972.5,970.7,973.6,971.82,971.8,972.92,972.42
970.08,967.87,971.47,972.88,997.98,971.6,976.3,971.22,972.0,973.75,981.88,969.95,971.3,971.35,968.82,972.53,972.75,970.92,973.62,971.97,971.8,972.88,972.52
970.62,968.45,972.03,973.42,987.5,972.4,976.25,971.67,972.52,974.6,981.8,970.38,972.15,971.4,969.28,973.3,973.3,971.7,974.2,972.58,971.77,973.48,973.22
970.35,968.3,971.72,973.08,995.12,971.85,976.42,971.3,972.05,974.1,981.9,970.38,971.6,971.35,969.25,973.05,973.2,971.2,974.1,972.38,971.8,973.4,972.9
969.78,967.71,971.02,972.42,977.0445454545454,971.25,976.47,970.65,971.38,973.53,981.9,969.65,971.02,971.35,968.58,972.5,972.62,970.77,973.4,971.8,971.7,972.8,972.1
969.05,966.9,970.2,971.65,988.03,970.38,976.5,969.77,970.52,972.65,981.9,968.88,970.12,971.35,967.77,971.65,971.92,969.78,972.45,971.1,971.7,972.02,971.23
967.92,966.04,969.27,970.68,979.854,969.45,976.62,968.85,969.55,971.67,981.9,968.05,969.23,971.32,966.8,970.73,970.95,968.58,971.67,970.2,971.7,971.12,970.25
967.05,965.04,968.3,969.73,995.0,968.45,976.48,967.9,968.65,970.67,981.9,966.92,968.2,971.4,965.8,969.8,970.05,967.62,975.9563636363637,969.25,971.7,970.1,969.45
966.28,964.28,967.53,968.98,999.4,967.73,976.62,967.08,967.85,969.95,981.9,966.12,967.48,971.38,964.97,968.95,969.17,966.8,975.4341666666668,968.33,971.75,969.3,968.62
965.62,963.62,967.1,968.45,989.42,967.3,976.5,966.73,967.48,969.45,981.9,965.58,967.1,971.4,964.42,968.38,968.5,966.25,975.2350000000001,967.68,971.8,968.67,968.23
966.08,963.86,967.62,968.9,995.12,967.8,976.5,967.33,968.08,969.9,981.85,965.88,967.6,971.4,964.8,968.55,968.67,966.75,975.59,967.88,971.8,968.97,969.05
967.17,964.83,968.68,969.88,993.65,968.75,976.38,968.23,969.08,970.83,981.9,967.0,968.6,971.3400000000001,965.83,969.52,969.55,968.2,976.1574999999999,968.88,971.8,970.0,969.65
