IHBAS-CPCB,Shadipur-CPCB
0.25,0.62
0.28,0.4
0.47,0.72
0.42,0.79
0.41,0.78
0.38,0.84
0.3,0.96
0.43,1.02
0.35,0.65
2.38,0.49
0.37,0.01
0.46,0.48
0.37,0.6
0.28,0.24
0.58,0.898
1.23,0.01
0.95,0.34
0.53,0.11
0.2,0.21
0.23,0.43
0.16,0.6882352941176472
0.29,0.86
0.16,0.1
0.1,0.09
0.14,1.421764705882353
0.53,0.01
1.19,0.61
0.45,0.67
1.84,0.89
0.74,0.68
0.67,0.97
0.49,0.86
0.31,0.78
1.0,0.72
0.55,0.79
0.75,0.11
0.33,1.342941176470588
0.15,1.1305882352941177
0.15,1.21625
0.16,1.0223529411764705
0.15,0.9682352941176471
0.14,0.9041176470588236
0.14,0.2
0.18,0.36
0.28,0.58
0.32,0.6
0.25,0.2
0.27,0.51
0.34,0.5
0.59,0.65
0.46,0.59
0.57,0.77
0.78,1.3
0.98,0.93
0.79,0.91
0.76,1.25
0.81,0.82
0.96,0.92
1.17,0.71
1.31,0.66
0.67,1.18
0.27,0.73
0.26,0.52
0.26,0.52
0.17,0.67
0.15,0.25
0.12,0.11
0.19,0.26
0.23,0.34
0.18,0.24
0.16,0.22
0.14,0.33
0.15,0.1
0.23,0.33
0.44,0.58
0.57,0.58
0.66,0.93
0.81,1.74
0.58,2.0
0.36,1.19
0.34,1.13
0.23,0.71
0.23,0.67
0.18,0.43
0.14,0.27
0.14,0.27
0.21,0.7
0.21,0.59
0.2,0.54
0.19,0.33
0.15,0.64
0.16,0.61
0.28,0.3
0.24,0.58
0.23,0.58
0.16,0.57
0.17,0.38
0.2,0.61
0.38,0.6
0.64,0.89
1.97,2.68
1.5,1.42
1.22,1.34
0.91,3.59
0.83,2.47
0.74,2.29
1.72,1.78
1.42,3.23
1.33,3.8
1.03,2.65
0.9,1.74
0.43,1.29
0.73,1.02
0.81,1.33
0.98,2.31
0.96,2.21
0.6388888888888888,0.67
0.62,0.24
0.5994117647058823,0.5900000000000001
0.56,0.72125
0.43,0.16
0.51,1.38
0.52,0.99
0.72,1.04
1.83,1.44
0.83,1.05
1.25,1.43
1.2,1.07
0.74,1.1
0.43,0.89
0.3,0.65
0.36,0.6
0.35,0.41
0.32,0.36
0.22,0.56
0.3,0.58
0.29,0.39
0.25,0.45
0.22,0.23
0.31,0.36
0.31,0.23
0.32,0.59
0.43,0.55
0.42,0.58
0.32,0.58
0.45,0.84
0.62,0.93
0.71,1.23
0.83,1.0
0.66,1.79
0.99,3.95
1.35,5.56
0.39,1.98
0.27,1.17
0.18,1.52
0.17,1.6
0.2,1.16
0.38,1.05
0.34,1.12
0.32,1.34
0.39,1.26
0.51,1.01
0.39,0.73
0.69,0.55
1.3,0.52
1.12,0.53
0.94,0.9
1.86,1.01
2.1,1.0
5.44,0.84
9.02,1.23
13.27,3.84
10.04,4.03
14.75,1.6
10.01,0.84
5.42,0.48
4.06,0.67
2.58,0.62
1.95,0.39
1.3322222222222222,0.11
1.1372222222222221,0.12
0.9716666666666668,0.1
1.0844444444444443,0.48
1.2938888888888889,0.37
1.4294444444444445,0.56
1.391111111111111,0.42
0.31,0.61
1.29,0.61
1.16,0.43
0.73,0.63
0.86,0.36
0.65,0.95
0.72,0.94
1.16,0.88
1.61,1.63
1.95,1.76
2.49,1.15
3.01,1.85
5.18,1.67
4.01,1.43
2.91,1.35
2.37,1.08
2.44,0.92
1.77,1.15
1.31,0.58
1.26,0.65
1.29,0.81
1.53,0.95
1.73,0.75
1.51,0.74
1.18,0.28
0.83,0.52
0.96,0.6
1.03,0.72
0.83,0.76
0.64,0.66
0.68,0.81
0.82,1.02
1.33,1.32
2.17,1.48
3.93,1.24
4.03,1.4
2.55,1.22
1.85,0.97
1.52,0.57
1.46,0.67
0.99,0.41
0.9,0.37
0.72,0.64
0.66,0.56
0.83,0.59
1.44,0.41
1.72,0.91
2.05,0.72
1.45,0.52
1.28,0.38
1.02,0.72
0.89,0.53
0.74,0.69
0.63,0.73
0.73,0.81
0.8,0.89
1.08,0.93
1.78,1.87
2.87,1.1
3.95,1.62
3.67,2.31
2.79,1.6
3.54,1.45
3.69,0.89
3.31,1.01
2.63,0.59
2.01,0.65
1.62,1.58
2.13,1.98
3.14,1.32
3.38,1.36
3.24,0.75
1.48,0.24
1.01,1.8823529411764703
0.99,2.9952941176470596
0.97,3.906470588235294
0.95,1.9493749999999999
0.78,1.6066666666666665
0.72,2.015
0.84,3.0
1.25,4.1
2.14,2.63
3.55,6.09
5.51,8.29
5.26,8.89
5.43,8.73
3.16,5.49
2.77,2.38
1.92,1.54
1.7,1.74
1.61,2.1
1.53,1.99
1.96,1.56
2.17,3.16
2.48,4.31
1.54,2.04
2.4,0.82
1.44,0.28
0.72,1.76
0.72,1.59
0.57,0.75
0.46,0.87
0.51,1.41
0.44,1.89
1.38,3.82
2.18,3.23
3.16,3.17
4.42,4.72
4.67,3.37
5.47,2.99
6.52,1.62
3.91,1.63
1.35,2.74
1.25,3.04
1.86,2.48
1.41,2.25
