IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
42.63,48.62499999999999,26.32,41.33,72.12,60.25,25.89,49.1,42.8,27.79,25.75,3.02,25.6,10.72,34.55,34.8,80.95,5.45,14.65,25.05,101.15,10.5,29.95,15.12,42.1,7.22,29.9,77.88,20.88
40.9,56.0,22.93,38.15,74.6,66.58,29.54,46.88,42.83,43.23,18.32,3.38,29.88,7.47,30.57,32.98,75.85,5.0,16.8,24.27,96.8,11.15,33.48,16.38,41.25,7.1,31.98,65.12,16.45
35.55,56.62,23.25,36.7,74.65,53.27,27.9,47.58,42.75,49.74,25.52,6.43,26.5,6.15,28.25,30.45,63.6,5.33,23.58,24.77,92.03,9.95,22.0,16.62,40.4,7.4,28.27,60.85,18.67
34.8,51.75,19.12,33.14,73.25,45.88,20.88,46.12,40.45,39.46,25.93,5.55,22.68,40.66,30.05,29.9,52.23,5.28,18.3,22.25,89.33,5.6,34.58,15.65,39.98,7.9,27.52,57.52,21.07
34.34,40.995,18.2,31.13,73.12,38.62,28.32,45.17,38.67,33.49,24.55,6.7,19.83,4.43,32.0,28.62,33.17,6.17,18.1,21.32,74.72,10.62,35.58,15.7,38.53,7.92,31.73,50.8,22.25
31.24,35.58272727272727,18.12,27.38,67.2,32.92,27.26,43.92,37.88,37.29,14.53,8.57,10.05,8.39,25.83,28.07,29.33,5.97,15.5,19.68,53.52,11.18,31.62,15.4,35.0,6.85,27.18,42.75,21.83
23.38,26.434000000000005,10.3,18.07,48.43,20.77,21.41,32.58,27.95,28.39,28.9,3.05,4.95,9.13,11.45,24.82,20.25,5.15,9.47,17.43,69.25,11.9,27.45,15.02,24.9,3.75,21.58,36.03,17.82
18.43,17.89,4.83,14.09,36.08,5.2,18.83,7.95,20.88,25.92,7.75,7.38,5.9,6.67,10.0,13.93,10.3,6.8,3.42,7.03,63.15,10.35,7.6,14.42,19.33,3.62,13.35,19.23,8.78
10.66,13.90375,10.65,10.9,45.25,3.1,15.83,2.85,24.65,46.23,6.0,3.23,0.9,4.13,8.7,5.83,7.22,6.42,6.28,5.75,26.15,6.88,9.95,17.23,10.72,3.27,11.4,3.52,7.85
6.33,14.743749999999999,7.03,8.5,42.92,1.12,9.81,2.7,27.18,30.33,3.3,3.53,0.38,3.98,7.95,5.6,13.12,5.8,9.15,11.85,23.85,6.2,2.05,17.65,6.1,3.05,10.6,4.88,6.8
3.09,15.153749999999999,7.78,8.13,40.35,1.95,11.31,5.03,27.67,30.1,2.45,4.1,0.45,3.76,6.85,5.6,9.05,5.47,13.82,10.88,23.47,6.25,3.0,17.07,5.2,3.12,10.82,3.65,5.2
2.42,15.660000000000004,7.45,8.08,39.08,3.5,11.4,4.62,25.6,26.05,3.52,6.5,6.564736842105264,5.24,6.3,6.1,9.82,5.72,8.18,8.55,10.6,6.35,1.57,17.85,4.08,2.9,94.3,3.15,5.03
