IHBAS-CPCB,East-Arjun-Nagar-CPCB,DTU-CPCB,Shadipur-CPCB
2.12,6.11,1.7,1.34
1.75,8.54,1.53,1.53
1.88,5.77,1.52,1.4
1.22,3.85,1.58,1.33
1.23,5.38,1.56,1.18
1.1,9.57,1.5,1.81
1.17,9.63,1.44,4.68
1.33,6.73,1.4,5.74
4.76,14.4,1.38,3.38
6.99,5.46,1.46,4.04
7.43,11.63,1.99,5.46
8.02,6.02,2.9,6.02
6.96,12.89,3.09,4.49
5.0,9.3,2.85,1.77
3.4,6.55,2.48,1.0
1.93,7.26,2.26,0.85
0.92,5.22,1.95,0.29
1.9011764705882352,5.92,1.73,0.11
1.6681249999999999,5.95,1.21,0.7050000000000002
1.6066666666666665,6.53,1.59,0.04
1.917857142857143,8.63,1.53,0.07
2.256153846153846,9.41,1.42,0.05
2.4646666666666666,6.2,1.49,0.25
1.778823529411765,7.53,1.46,0.18
1.5733333333333333,10.21,1.35,0.74
1.6576470588235297,6.42,1.37,1.43
1.01,6.06,1.4,1.66
1.17,7.55,1.48,1.41
1.28,4.38,1.48,1.05
1.21,5.95,1.42,1.18
1.46,8.71,1.51,2.04
1.21,7.9,1.41,3.12
1.58,7.1,1.39,3.29
3.96,7.42,1.46,3.75
4.07,6.65,1.93,2.85
2.02,7.37,2.1,1.93
5.649444444444445,8.43,2.04,0.76
4.444705882352941,6.25,1.88,1.46
3.0125,5.81,1.54,1.92
2.4206666666666665,7.46,1.88,1.48
1.7942857142857143,6.06,1.83,1.21
2.602307692307692,7.89,1.76,0.45
4.2,4.94,1.38,0.07
1.9314285714285713,5.85,1.36,0.7204545454545455
1.8006666666666666,6.03,1.26,0.12
1.8780000000000001,5.56,1.44,0.57
2.3,6.18,1.36,1.11
1.46,5.87,1.27,1.48
1.44,6.89,1.33,2.83
1.8824999999999998,3.46,1.27,2.98
1.9446666666666665,8.84,1.44,3.68
1.696153846153846,5.15,1.39,3.6
2.332,11.35,1.39,1.85
2.005714285714286,6.01,1.5,2.36
1.9493333333333331,11.32,1.44,2.64
2.0073333333333334,8.07,1.71,2.19
3.252,10.14,1.83,1.99
4.3275,4.67,1.98,2.49
5.858666666666667,6.34,1.79,3.09
