IHBAS-CPCB,East-Arjun-Nagar-CPCB,Shadipur-CPCB,Punjabi-Bagh-DPCC
28.28,26.9,97.98,99.22
28.18,26.78,97.99,99.0
28.08,26.52,98.0,93.52545454545456
27.82,26.41,97.99,93.47099999999999
27.8,26.24,97.99,92.61500000000001
27.74,26.24,97.98,90.11800000000001
27.88,26.36,97.98,85.655
27.82,26.72,97.98,83.26899999999999
28.25,27.17,97.97,81.69454545454546
28.74,27.65,97.97,99.2
29.41,28.6,97.97,96.53
29.37,28.27,97.95,92.62
29.37,28.02,97.95,94.82
29.26,27.83,97.95,91.48
29.46,27.8,97.95,87.72
29.7,27.9,97.95,88.83
29.85,27.8,97.95,90.32
32.13,27.63,97.96,91.73
32.56,27.65,97.96,92.5
33.12,27.79,97.96,93.22
32.45,27.58,97.96,92.4
32.42,26.92,97.96,92.12
32.77,27.05,97.96,93.4
33.47,26.97,97.96,94.2
32.25,26.14,97.96,94.17
32.42,26.39,97.97,95.93
32.47,26.57,97.97,95.47
32.42,26.68,97.97,94.45
33.1,26.91,97.96,93.03
33.61,27.25,97.95,91.95
34.62,27.82,97.94,88.55
36.17,28.76,97.19,84.83
37.18,29.49,87.24,76.15
38.75,29.73,84.14,75.08
39.35,30.01,83.47,73.9
38.65,30.36,82.72,75.55
38.49,30.91,84.01,76.65
39.14,30.7,83.59,77.88
38.75,30.2,89.85,82.17
38.09,29.65,92.24,84.2
37.08,29.08,94.58,86.5
37.49,28.87,96.49,87.42
37.72,28.7,97.85,88.38
37.2,28.68,97.93,89.85
36.41,28.53,97.93,91.28
36.01,28.48,97.93,91.1
35.65,28.11,97.94,91.45
35.39,27.85,97.94,92.0
35.25,27.67,97.94,91.4
35.28,27.49,97.95,90.97
35.66,27.38,97.95,92.47
35.89,27.55,97.96,93.25
37.47,27.74,97.94,90.1
38.42,28.31,97.93,85.58
39.19,29.26,94.92,80.88
40.78,30.47,85.82,74.9
41.7,31.45,80.92,73.23
41.49,32.27,76.94,67.3
41.63,31.68,73.92,65.6
42.98,32.43,70.46,66.58
43.33,32.97,69.43,66.45
43.61,33.25,70.7,68.72
43.72,33.31,70.7,69.85
41.69,32.02,74.24,73.05
39.64,31.08,80.51,76.67
39.12,30.61,83.59,78.75
37.89,29.95,87.36,81.67
37.12,29.52,91.46,85.1
36.92,29.31,96.0,88.28
36.62,29.06,97.59,89.15
36.34,28.83,97.92,90.17
36.14,28.67,97.92,91.3
35.92,28.54,97.93,91.65
35.95,28.42,97.93,91.75
35.89,28.23,97.93,90.93
34.63,26.85,97.93,89.75
33.74,26.49,97.94,91.88
35.57,27.9,97.63,88.15
39.4,30.14,87.11,70.75
36.62,30.83,81.95,69.42
36.82,31.47,77.89,66.22
34.61,32.54,74.67,65.53
35.69,33.29,72.15,65.58
35.07,33.97,69.89,65.82
32.84,32.3,67.11,64.28
32.83,31.84,78.04,72.62
32.95,31.91,82.42,76.52
32.04,31.28,84.64,78.78
31.41,31.01,83.8,78.5
31.38,30.8,83.4,78.7
31.15,30.65,83.77,79.8
31.2,30.43,84.32,80.18
30.75,30.19,85.93,81.97
30.53,29.94,89.53,84.22
30.23,29.6,92.46,86.0
29.96,29.27,93.78,86.67
29.89,29.19,97.56,92.9
29.81,29.12,97.93,96.22
29.84,29.06,97.93,95.72
29.82,28.97,97.93,95.25
30.16,29.28,97.93,92.45
30.98,30.06,96.77,84.25
32.37,31.13,91.27,79.65
35.14,32.28,83.72,72.72
34.17,33.06,76.09,67.92
31.41,33.21,76.63,70.25
30.8,32.87,75.91,69.82
30.56,33.72,75.32,72.78
27.41,30.26,85.92,79.47
25.88,27.24,93.66,85.47
26.59,27.53,97.91,78.809
26.55,28.58,97.92,80.88000000000001
26.11,29.05,97.92,81.41285714285716
26.37,28.99,97.92,83.41000000000001
26.76,29.08,97.92,85.20800000000001
26.74,29.15,97.92,86.67
26.78,29.22,97.49,88.25
26.87,29.23,97.65,89.135
27.09,29.11,97.92,89.93
27.1,29.21,97.92,90.41000000000001
27.16,29.17,97.91,91.57500000000002
26.98,29.07,97.91,92.66
27.0,29.02,97.92,92.9925
27.12,29.12,97.92,92.7925
28.77,29.99,97.91,91.5075
30.37,31.23,96.1,85.565
29.78,30.91,88.83,75.44
29.93,31.05,92.41,70.35499999999999
33.62,32.52,97.23,72.56
37.03,33.55,86.03,71.90599999999999
37.36,33.63,79.31,70.8
34.41,33.63,79.03,70.85199999999999
31.74,30.97,91.08,71.602
31.39,30.16,91.99,77.13000000000001
31.53,30.39,87.44,78.90599999999999
30.81,30.05,89.22,81.612
30.36,29.69,91.77,81.6375
30.09,28.99,91.39,83.5075
30.07,28.81,92.26,83.85249999999999
30.61,29.34,91.55,85.16499999999999
30.24,28.89,92.25,86.4925
30.07,28.71,94.32,87.615
30.17,28.5,95.63,88.91749999999999
30.06,28.52,97.34,89.205
30.14,28.55,96.15,90.4075
30.09,28.36,96.76,91.23750000000001
29.93,28.14,97.92,91.275
29.64,27.96,97.95,90.70500000000001
28.98,27.33,97.95,89.39499999999998
29.06,27.35,97.95,83.45750000000001
28.12,26.51,97.96,72.795
26.2,24.53,98.0,67.96
26.52,24.72,98.01,73.33666666666666
26.92,25.11,98.01,76.60857142857142
26.62,24.98,98.0,78.4125
27.12,25.42,97.99,78.50750000000001
27.74,26.32,97.98,79.3425
28.33,26.74,97.97,86.9
28.44,26.64,97.97,96.08
28.88,27.03,97.97,96.0
28.75,27.18,97.97,86.01142857142858
28.88,27.33,97.97,87.14857142857143
28.85,27.3,97.97,86.9057142857143
29.04,27.2,97.97,87.315
29.04,27.01,97.96,86.532
28.81,26.95,97.96,85.6325
28.44,26.55,97.96,87.08
28.27,26.0,97.97,87.405
27.49,25.45,97.97,88.89500000000001
26.98,24.82,97.98,90.09500000000001
27.07,24.97,98.0,90.585
27.0,25.1,98.0,90.944
27.96,25.69,98.0,89.8
28.33,25.82,98.0,86.69714285714284
28.06,25.48,98.0,82.64500000000001
28.26,25.14,98.01,80.0311111111111
28.18,26.21,98.14,93.0
30.73,27.4,98.97,92.75
31.6,28.27,98.95,89.4
30.57,28.25,98.39,83.88
34.61,27.99,94.13,82.78
36.68,27.31,95.56,84.9
31.2,26.5,95.06,85.68
29.57,25.79,96.49,88.35
29.33,25.47,98.95,90.5
29.29,25.59,98.98,90.65
29.51,25.6,98.99,90.72
29.77,25.53,99.0,91.55
30.35,25.28,99.0,91.47
30.68,25.3,99.0,92.07
29.68,25.43,99.0,92.1
29.91,25.58,99.0,91.67
29.49,25.63,98.3,90.35
29.57,25.6,98.71,91.7
29.59,25.69,98.99,92.85
29.83,25.91,98.99,92.92
30.71,26.22,98.99,91.6
33.69,27.88,93.1,84.28
31.76,29.46,83.14,70.48
30.52,30.55,76.85,64.38
31.22,31.25,74.5,62.43
31.73,31.92,72.0,63.7
32.32,32.37,69.5,63.6
32.44,32.48,68.68,65.2
32.59,32.86,65.91,65.03
32.5,32.6,64.95,64.17
31.94,32.22,67.72,66.4
30.11,30.24,75.31,71.88
28.39,28.44,85.35,80.88
27.37,27.87,94.09,85.93
27.8,27.97,94.18,83.22
26.97,28.27,93.76,83.83
26.99,28.15,93.22,84.25
26.7,27.81,93.33,85.02
26.38,27.73,94.74,87.4
26.1,27.37,94.57,87.18
26.18,27.36,93.83,86.73
26.21,27.17,91.42,85.28
26.27,27.12,92.01,85.6
26.75,27.31,91.03,84.9
27.82,27.87,86.45,81.65
28.75,28.54,81.68,77.15
29.96,29.36,78.93,70.3
30.86,30.22,74.17,65.32
31.91,31.11,71.54,63.55
32.66,31.59,67.96,61.05
32.95,32.06,66.48,59.92
33.38,32.33,64.12,61.4
32.61,32.24,65.07,64.2
30.11,31.62,67.15,65.58
30.76,31.89,67.51,66.83
29.88,31.45,70.37,70.2
28.83,30.7,74.97,73.22
28.38,30.22,78.03,75.78
28.09,29.7,78.19,75.62
27.64,29.33,79.19,76.25
27.04,28.73,82.67,78.97
26.54,28.18,85.95,81.22
25.98,27.71,88.2,82.82
25.7,27.48,90.3,84.1
25.47,27.26,92.32,85.6
25.41,27.22,94.28,87.18
25.26,27.0,95.84,88.17
25.33,26.86,97.24,88.65
25.75,27.12,97.29,87.35
26.39,27.69,95.52,86.05
27.33,28.41,90.7,81.7
28.36,29.29,85.03,76.05
29.77,30.52,78.22,68.55
29.73,30.97,74.06,65.57
30.41,31.35,71.58,66.97
30.99,31.93,70.14,66.47
30.18,31.43,69.41,66.12
29.11,30.46,76.12,71.65
29.54,30.73,74.0,72.25
28.68,30.23,77.28,74.55
27.8,29.45,80.62,76.5
27.51,29.06,84.01,78.9
26.93,28.5,85.02,80.4
26.71,28.31,87.02,81.9
26.43,27.95,89.77,83.9
25.95,27.58,93.3,86.23
25.68,27.3,94.56,86.6
25.57,27.12,94.27,86.43
25.57,27.07,94.64,86.7
25.52,27.09,95.26,87.28
25.45,26.98,95.44,87.0
25.36,26.93,95.21,86.97
25.3,26.8,96.01,87.97
25.59,27.0,96.56,87.07
26.6,27.96,94.09,85.15
27.61,28.53,96.63,89.15
28.1,28.81,84.87,73.77
29.84,30.36,79.64,71.32
30.17,30.67,76.06,69.4
30.26,31.21,73.26,67.62
30.21,31.42,74.69,71.08
31.23,31.06,76.77,73.67
30.99,30.56,80.65,75.22
30.17,30.15,80.63,77.33
29.58,29.84,83.15,79.35
29.31,29.64,86.66,81.72
29.11,29.17,88.55,82.53
28.79,28.98,90.3,84.35
28.65,28.66,88.73,83.85
28.07,28.39,89.71,83.88
27.88,28.14,92.09,85.7
27.72,27.98,92.87,86.7
27.35,27.8,93.9,87.58
27.18,27.58,95.27,89.1
26.94,27.25,96.48,89.9
26.91,27.08,97.5,90.3
27.46,27.27,97.0,88.3
28.68,27.9,95.01,84.03
30.66,28.94,88.36,75.83
31.1,29.71,87.49,78.8
31.48,30.19,85.3,76.95
31.99,30.48,83.49,74.85
32.23,30.82,81.51,73.82
33.09,31.66,74.9,68.97
32.96,31.68,72.85,68.88
32.22,31.47,74.62,71.93
31.84,30.98,78.77,73.65
31.04,30.22,83.51,78.38
30.65,29.94,86.86,80.9
30.45,29.77,86.57,80.35
30.14,29.5,86.97,80.83
30.02,29.28,88.8,82.6
29.84,29.01,91.04,84.35
29.52,28.59,93.45,86.4
28.97,28.2,95.43,88.15
28.64,28.17,95.72,88.62
29.0,28.17,95.0,87.62
28.89,28.14,95.18,85.0
28.82,27.96,93.87,84.42
28.91,28.12,90.71,82.8
29.34,28.23,88.51,82.5
30.11,29.09,84.53,79.28
31.51,29.75,81.25,75.65
32.89,30.59,77.36,71.88
31.02,32.07,71.65,66.38
32.09,32.79,70.3,66.75
32.57,32.39,68.84,64.85
32.42,32.17,67.42,66.65
32.58,32.71,66.99,67.05
32.38,33.06,66.1,66.53
32.3,32.71,67.6,67.62
31.59,31.61,70.69,70.85
30.81,31.32,74.03,73.27
30.44,31.06,76.63,76.62
30.14,30.98,79.78,78.25
30.01,30.74,80.86,76.15
29.43,30.28,78.02,76.33
29.51,30.12,80.36,78.88
29.12,29.89,82.63,80.35
28.83,29.63,84.21,80.78
28.49,29.25,84.96,81.18
28.33,29.07,84.8,80.8
28.15,28.77,86.29,82.93
28.03,28.5,87.96,83.18
28.59,28.89,84.93,80.52
29.39,29.43,80.67,76.1
30.38,30.22,79.81,74.47
31.2,31.6,77.34,68.45
32.13,32.19,72.08,66.25
32.98,32.79,68.12,60.98
33.56,33.6,66.91,64.28
33.98,34.65,66.14,64.45
33.61,33.63,65.48,66.35
34.16,34.16,63.74,65.25
33.41,33.46,68.39,68.33
30.58,30.6,92.48,89.45
30.35,31.09,98.96,93.68
30.22,31.21,98.95,96.88
30.16,31.0,98.95,96.62
29.91,30.77,98.96,96.97
28.54,30.85,98.96,97.42
29.11,30.5,98.96,97.28
29.14,30.36,98.96,97.18
28.72,30.21,98.96,90.62
28.81,29.74,98.96,93.6
28.17,29.55,98.96,95.43
28.94,29.3,98.97,91.82
29.43,29.52,98.98,89.55
30.88,30.3,97.76,85.3
33.63,31.0,88.57,79.2
40.34,31.55,80.64,70.03
37.57,30.18,73.99,66.75
32.91,27.7,72.23,66.12
30.3,26.76,75.2,68.72
28.53,25.49,95.27,83.25
26.01,24.69,98.98,96.47
27.99,25.83,98.99,98.38
28.24,26.44,98.98,97.3
29.21,26.71,98.97,92.25
33.2,27.14,98.97,91.58
30.88,26.83,98.97,92.22
28.57,26.54,98.98,91.45
28.5,26.51,98.99,91.72
28.26,26.66,98.99,91.97
28.48,26.73,98.98,94.55
28.84,26.7,98.98,96.57
28.55,26.64,98.99,97.08
27.91,26.69,98.99,97.9
27.79,26.21,98.99,98.35
27.57,25.73,98.99,98.18
27.36,25.73,98.99,97.62
27.56,25.68,98.99,97.0
29.67,27.06,98.98,92.75
31.8,28.83,97.87,84.97
33.58,29.39,85.74,75.2
35.24,30.6,77.52,69.7
34.06,30.95,73.52,63.7
34.81,31.77,72.59,64.43
35.94,32.21,70.15,61.42
35.35,32.52,66.41,61.65
35.51,32.75,67.15,65.88
36.44,33.04,65.59,64.75
35.51,32.81,67.08,65.62
34.37,32.2,71.68,69.97
32.66,31.6,77.66,73.97
31.78,31.22,80.44,77.3
31.63,30.64,82.63,78.5
31.31,30.23,83.98,78.88
31.24,29.95,85.21,80.58
31.14,29.75,84.81,80.4
30.98,29.11,86.81,81.83
30.89,28.78,85.91,80.58
30.04,27.78,87.83,82.88
29.61,27.27,91.34,84.88
29.54,27.05,93.83,87.15
29.84,26.82,95.46,87.65
31.53,27.2,93.0,84.22
32.09,27.62,87.31,79.82
32.17,27.92,82.06,75.38
33.41,28.73,76.35,69.78
34.11,28.99,74.14,67.1
34.33,29.64,74.69,69.4
32.47,29.88,73.66,70.28
30.91,29.52,75.97,73.0
29.6,28.15,81.65,76.22
30.83,29.3,75.69,71.62
30.38,28.86,78.85,75.15
29.81,28.38,82.52,78.38
29.31,27.92,85.27,80.55
28.78,27.52,88.41,82.75
28.87,27.55,89.58,83.53
28.09,26.91,94.26,89.88
28.45,27.18,98.96,91.85
28.93,27.36,96.8,89.18
28.95,27.36,93.66,86.53
28.72,27.14,92.69,86.42
28.5,26.78,93.91,87.4
28.27,26.44,94.85,88.03
28.33,26.39,95.25,88.3
28.41,26.35,94.71,87.75
28.74,26.43,94.94,88.03
31.07,27.06,93.56,85.2
30.96,27.84,88.43,78.7
35.59,28.91,82.14,71.95
32.74,29.75,75.08,67.62
34.95,30.98,71.85,67.22
35.14,31.4,69.35,64.1
36.75,31.19,70.62,68.3
35.38,30.88,72.14,69.75
32.06,30.9,72.56,70.17
33.56,30.53,74.81,72.5
38.21,30.25,75.0,73.85
38.25,29.78,77.82,76.28
40.82,29.36,80.44,77.92
39.01,29.08,83.36,79.97
33.25,28.82,85.13,81.8
44.09,28.37,85.89,82.4
30.43,28.09,86.83,82.55
30.36,27.78,86.98,83.47
30.2,27.43,88.93,84.75
30.48,27.11,92.59,85.08
31.52,26.77,94.75,86.9
32.13,26.39,96.36,89.18
32.41,26.28,97.2,90.75
