"001_0011","013_0002","013_0006","013_1001","013_1002","013_1004","013_2001","019_0011","023_1004","037_1103","037_5005","065_8001","071_0306","071_1234","071_2002","073_1022","079_2004","083_1013","083_1025","083_2004"
0.4,0.6,0.6,1.4,1.5,1.2,2.1,0.2,0.45,0.35,1,0,0.071428571428572,0.2,0.3,0,0,0,0,0
0.4,0.6,0.4,1.7,1.6,1.1,1.7,0.1,0.6,0.7,0.85,0,0.085714285714286,0.2,0.35,0,0,0,0,0
0.4,0.6,0.2,1.2,1.3,1.1,1.1,0.1,0.5,0.65,0.6,0,0.071428571428572,0.2,0.3,0,0,0,0,0
0.4,0.6,0.5,0.9,1.1,1.2,1.2,0.1,0.5,0.45,0.6,0.05,0.071428571428572,0.1,0.35,0,0,0,0,0
0.4,0.6,0.7,0.8,1,1.2,1.2,0.2,0.5,0.35,0.6,0,0.057142857142857,0.1,0.3,0,0,0,0,0
0.4,0.6,0.5,0.8,1.1,1.3,1.2,0.1,0.6,0.2,0.6,0,0.042857142857143,0.1,0.4,0.1,0,0,0,0
0.4,0.6,0.5,0.8,1,1.3,1.2,0.1,0.6,0.2,0.5,0,0.042857142857143,0.1,0.3,0.1,0,0,0,0
0.4,0.6,0.4,0.8,1,1.3,1.1,0.1,0.55,0.3,0.6,0,0.057142857142857,0.1,0.3,0.1,0,0,0,0
0.4,0.6,0.8,0.8,1,1.4,1.1,0.1,0.6,0.25,0.75,0,0.128571428571429,0.1,0.3,0.1,0,0,0,0
0.3,0.7,1,0.9,0.9,1.4,1,0.2,0.55,0.3,0.8,0,0,0.1,0.3,0.05,0,0,0,0
0.4,0.6,1,0.9,1,1.6,1.1,0.2,0.6,0.2,0.95,0,0,0.1,0.3,0,0,0,0,0
0.4,0.6,1.9,0.9,0.9,1.4,1,0.1,0.6,0.2,1.4,0,0.385714285714286,0.1,0.3,0,0,0,0,0
0.4,0.6,0.7,0.9,1,1.3,1.1,0.1,0.5,0.2,0.85,0,0.242857142857143,0.1,0.3,0.016666666666667,0,0,0,0
0.3,0.5,0.5,0.7,0.9,1.2,1,0.109090909090909,0.55,0.2,0.6,0,0.228571428571429,0.1,0.3,0.008333333333333,0,0,0,0
0.357142857142857,0.585714285714286,0.811111111111111,1.12222222222222,0.957142857142857,1.31428571428571,1.06666666666667,0.1,0.45,0.3,0.5,0.05,0.214285714285714,0.1,0.25,0.016666666666667,0,0,0,0
0.3625,0.5875,0.9,1.1,0.9625,1.225,1.2,0.1,0.543333333333333,0.3,0.5,0,0.242857142857143,0.1,0.3,0,0,0,0,0
0.3,0.6,0.6,1.5,0.9,1.3,1,0.1,0.45,0.35,0.4,0,0.214285714285714,0.1,0.25,0,0,0,0,0
0.3,0.6,0.6,1.3,1,1.2,1,0.1,0.45,0.2,0.65,0,0.142857142857143,0,0.2,0,0,0,0,0
0.4,0.6,0.5,1.5,1,1.2,1,0.2,0.5,0.25,1,0,0.242857142857143,0,0.2,0.1,0,0,0,0
0.4,0.6,0.6,1,1,1.1,1.1,0.1,0.55,0.3,1.25,0,0.242857142857143,0,0.3,0.1,0,0,0,0
0.5,0.7,0.6,1.4,0.9,1.3,1,0.2,0.55,0.35,1.25,0,0.0875,0.1,0.3,0.1,0,0,0,0
0.5,0.7,0.5,2.8,1,1.3,1,0.2,0.45,0.2,1.3,0,0.075,0.1,0.3,0,0,0,0,0
0.6,0.5,0.6,1.3,1,1.3,1.2,0.3,0.5,0.15,0.85,0,0.0625,0.1,0.3,0,0,0,0,0
0.6,0.5,0.6,1.8,1,1.3,1.2,0.3,0.65,0.2,1.05,0,0.05,0.4,0.3,0,0,0,0,0
0.6,0.6,0.5,1.7,1,1.3,1.2,0.3,0.6,0.2,0.9,0,0.05,0.5,0.3,0,0,0,0,0
0.5,0.5,0.4,1.5,1.1,1.8,1.1,0.3,0.45,0.2,0.5,0,0.071428571428572,0.7,0.3,0,0,0,0,0
0.5,0.5,0.5,1.4,1.2,1.5,1.2,0.3,0.6,0.25,0.5,0,0.071428571428572,0,0.3,0,0,0,0,0
0.5,0.6,0.5,1.3,1.2,1.2,1.1,0.3,0.5,0.5,0.45,0,0.042857142857143,0,0.3,0,0,0,0,0
0.4,0.5,0.4,1.2,1.1,1.2,1.1,0.3,0.6,0.3,0.5,0,0.0375,0.5,0.2,0.05,0,0,0,0
0.4,0.6,0.3,1.2,1,1.2,1,0.2,0.55,0.3,0.55,0,0.0875,0.1,0.3,0.1,0,0,0,0
0.4,0.6,0.4,1.8,1,1.2,1.1,0.2,0.6,0.3,0.6,0,0.2125,0.1,0.3,0.1,0,0,0,0
0.4,0.6,0.4,1.6,0.9,1.2,1.1,0.2,0.55,0.3,0.9,0,0.1375,0,0.3,0.1,0,0,0,0
0.4,0.6,0.4,1.1,1,1.4,1.1,0.2,0.55,0.3,0.8,0,0.1,0,0.3,0.1,0,0,0,0
0.3,0.6,0.5,0.9,1,1.2,1,0.2,0.55,0.3,0.7,0,0,0.028571428571429,0.3,0,0,0,0,0
0.4,0.6,0.4,0.8,0.9,1.1,1,0.1,0.55,0.3,0.55,0,0,0.014285714285714,0.35,0.05,0,0,0,0
0.3,0.5,0.4,0.8,0.9,1,1,0.1,0.55,0.2,0.6,0,0.3125,0,0.4,0,0,0,0,0
0.435294117647059,0.6,0.3,0.8,0.9,1,1,0.1,0.6,0.25,0.6,0,0.15,0,0.4,0,0,0,0,0
0.342857142857143,0.58,0.525,0.95,0.96,1.14,1.05625,0.1,0.45,0.3,0.6,0,0.1375,0,0.4,0.041666666666667,0,0,0,0
0.333333333333333,0.6,0.6,1.3,0.942857142857143,1.1,1.2,0.1,0.6,0.4,0.55,0.05,0.2,0,0.35,0.058333333333333,0,0,0,0
0.4,0.6,0.4,1,1,1.1,1.1,0.1,0.5,0.5,0.6,0.1,0.2125,0,0.4,0.05,0,0,0,0
0.3,0.6,0.4,0.9,1,1.2,1.1,0.1,0.5125,0.6,0.45,0.25,0.3,0,0.45,0.1,0,0,0,0
0.3,0.6,0.3,0.9,0.9,1.2,1.2,0.1,0.55,0.55,0.5,0.35,0.3125,0,0.5,0.1,0,0,0,0
0.3,0.7,0.3,0.8,1,1.1,1.2,0.1,0.4,0.5,0.6,0.7,0.225,0,0.55,0.1,0,0,0,0
0.3,0.7,0.522222222222222,0.7,1,1.2,1.2,0.2,0.65,0.6,0.6,0.8,0.25,0,0.5,0.2,0,0,0,0
0.4,0.7,0.5,0.7,1,1.2,1.1,0.3,0.55,0.55,0.7,0.7,0.177777777777778,0,0.7,0.15,0,0,0,0
0.5,0.7,0.6,0.7,1,1.2,1.1,0.2,0.6,0.35,0.81875,0.55,0.088888888888889,0,0.4,0.1,0,0,0,0
