IHBAS-CPCB,Shadipur-CPCB,RK-Puram-DPCC,NSIT-Dwarka-CPCB
-0.08,0.02,0.11857142857142858,0.04
-0.14,0.02,0.11833333333333333,0.04
-0.14,0.03,0.11200000000000002,0.06
-0.16,0.03,0.08333333333333333,0.06
-0.15,0.05,0.10600000000000001,0.06
-0.14,0.03,0.08399999999999999,0.07
-0.14,0.06,0.09,0.07
-0.14,0.02,0.1125,0.07
-0.14,0.07,0.225,0.07
-0.15,0.03,0.1175,0.08
-0.15,0.08,0.23666666666666666,0.08
-0.15,0.04,0.21,0.08
-0.16,0.07,0.2785714285714286,0.08
-0.17,0.04,0.33571428571428574,0.08
-0.2,0.06,0.35,0.07
-0.16,0.02,0.28,0.03
-0.16,0.05,0.5,0.01
-0.19,0.03,0.57,0.01
-0.13,0.05,0.5,0.1
0.06,0.03,0.55,0.1
0.09,0.04,0.8,0.09
0.09,0.04,0.62,0.09
0.0,0.04,0.53,0.09
0.01,0.02,0.35,0.09
-0.04,0.01,0.38,0.08
-0.02,0.0,0.45,0.04
-0.01,0.01,0.48,0.03
0.05,0.03,0.5,0.06
0.01,0.01,0.53,0.11
0.04,0.04,0.42,0.06
0.02,0.02,0.45,0.07
0.05,0.08,0.45,0.07
0.03,0.01,0.45,0.08
-0.03,0.08,0.47,0.07
-0.06,0.02,0.43,0.08
-0.08,0.07,0.48,0.08
-0.03,0.05,0.6,0.08
0.01,0.07,0.5,0.09
-0.02,0.03,0.4,0.11
-0.05,0.07,0.47,0.1
0.01,0.05,0.52,0.07
0.04,0.07,0.45,0.03
0.06,0.04,0.4,0.02
0.07,0.05,0.32,0.0
0.08,0.02,0.4,0.01
0.08,0.04,0.35,-0.01
0.12,0.01,0.3,-0.01
0.06,0.0,0.38,-0.02
0.04,-0.02,0.25,-0.01
0.03,0.0,0.18,-0.35
0.02,0.01,0.03,-0.52
0.05,0.03,0.0,-0.52
0.04,0.03,0.0,-0.52
0.04,0.03,0.0,-0.55
0.04,0.05,0.0,-0.57
0.03,0.03,0.0,-0.58
0.01,0.04,0.04363636363636363,-0.56
0.02,0.03,0.0,-0.56
0.01,0.05,0.061111111111111116,-0.56
0.01,0.02,0.0,-0.56
0.0,0.06,0.0,-0.55
0.0,0.03,0.0,-0.55
0.03,0.07,0.09444444444444444,-0.57
0.05,0.02,0.15,-0.63
0.04,0.04,0.175,-0.24
-0.01,-0.02,0.17090909090909093,-0.14
-0.13,0.04,0.188,-0.12
-0.14,0.0,0.1,-0.05
-0.16,0.04,0.12,-0.03
-0.17,-0.01,0.08,-0.05
-0.15,0.01,0.1,-0.03
-0.12,-0.01,0.03,0.01
-0.05,0.01,0.0,0.02
-0.05,0.01,0.09153846153846155,-0.16
-0.05,0.02,0.06307692307692307,-0.47
-0.06,0.03,0.0,0.02
0.01,0.02,0.0,0.04
-0.01,0.03,0.0,0.02
0.0,0.02,0.0,0.04
0.0,0.06,0.05625,0.07
0.09,0.02,0.06857142857142857,-0.26
0.03,0.05,0.08142857142857142,-0.52
0.12,0.03,0.11000000000000001,-0.5
