IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,CRRI-Mathura-Road,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
46.92,35.38,18.55,40.41,13.48,43.8,14.02,23.7,9.6,27.65,43.08,24.1,29.18,40.83,34.92,20.07,38.906111111111116,31.78,43.76,56.65,26.5,23.6,32.47,22.48,32.98,20.73,21.12,40.18,19.4,36.81727272727273,11.07
69.66,30.18,21.3,49.95,9.3,34.33,9.95,22.15,9.18,26.75,45.52,21.95,21.12,33.96,25.35,17.35,44.7,30.88,38.06,55.6,22.45,14.1,23.77,18.9,22.05,19.82,18.92,29.4,16.81,33.842,9.23
43.27,16.43,14.0,29.18,7.33,20.27,4.9,19.63,8.43,21.8,33.55,15.48,15.77,27.99,28.18,16.57,32.02,29.85,33.88,39.73,16.27,10.75,20.2,15.5,17.88,21.6,13.82,32.97,13.94,28.571000000000005,3.88
28.36,12.6,12.55,27.35,6.6,22.52,1.65,21.72,7.12,21.4,20.05,19.42,13.52,25.14,21.1,13.4,14.72,30.3,31.7,25.18,13.12,9.8,20.45,13.57,19.9,8.68,11.27,21.3,14.65,24.609,4.17
22.66,14.7,10.3,26.36,7.82,19.2,3.9,18.71,6.0,19.5,22.6,16.52,18.9,25.04,14.75,13.35,23.5,29.9,29.36,33.58,9.1,15.2975,20.4,16.0,15.65,7.9,9.4,20.3,14.33,19.799999999999997,7.25
17.48,22.4,14.47,28.61,15.3,18.7,2.5,21.27,7.27,21.48,21.6,20.18,17.18,34.13,15.75,12.18,23.6,28.98,28.25,39.83,10.3,8.93,19.68,16.62,14.4,14.93,10.75,13.45,12.53,20.12,8.95
16.11,23.1,13.15,30.18,17.27,19.48,1.08,24.02,6.8,20.7,21.8,20.57,18.05,22.48,20.52,11.15,23.47,26.02,27.06,39.33,11.12,11.6,20.62,16.15,23.67,9.85,12.28,10.7,15.35,19.84454545454545,10.28
20.3,24.32,11.93,34.42,22.15,21.03,0.97,23.17,5.75,22.15,28.88,16.3,19.6,20.66,24.2,10.85,37.5,26.0,25.83,34.08,13.28,19.98,19.75,18.17,23.73,11.4,12.4,26.77,14.01,20.840833333333336,5.67
23.19,16.82,9.1,33.68,14.0,27.65,6.159090909090909,19.86,6.03,24.95,26.23,16.45,23.45,18.37,19.43,11.0,25.83388888888889,24.82,37.28,26.1,14.6,23.62,18.52,14.9,30.05,13.85,12.6,21.02,13.9,21.6725,2.23
25.99,23.7,7.25,38.16,13.68,25.05,5.854,16.89,8.35,23.1,22.45,16.45,22.7,16.24,16.8,12.25,31.4,26.05,31.55,35.75,16.75,17.55,17.4,13.55,23.23,11.88,15.22,18.8,16.26,19.264166666666664,2.55
24.04,32.03,9.23,34.98,16.35,25.98,6.0522222222222215,19.9,7.8,22.17,19.82,13.45,47.38,25.8,21.0,13.98,30.4,25.05,26.33,30.8,22.52,14.47,17.55,13.57,17.5,9.75,15.22,21.2,25.52,26.12,4.75
25.99,24.05,7.9,25.15,14.6,23.85,6.3225,18.95,46.02,23.12,8.88,12.5,29.55,19.36,22.2,12.47,12.68,26.68,26.77,26.25,21.43,20.1,22.45,12.1,12.1,12.2,11.7,38.12,25.49,25.8,4.82
20.71,22.17,6.72,20.63,13.75,22.68,7.615714285714286,17.19,22.67,15.15,9.62,13.22,24.98,38.58,20.3,12.03,16.57,26.32,28.05,23.45,26.57,16.95,22.9,15.2,15.45,8.72,9.98,33.42,25.85,18.3625,3.12
19.48,18.65,12.75,20.22,16.7,26.45,13.631,16.9,22.52,20.75,16.02,12.72,26.57,47.46,23.47,14.05,19.57,28.12,21.86,36.35,29.27,28.12,21.65,15.5,18.58,5.77,9.15,37.92,26.48,18.020000000000003,2.62
